species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	CTRB1	Acinar cells	CTRB	0.018	chymotrypsinogen B1	protein-coding gene	1	Endoderm	Pancreas	1.0	1.0	0.00064914	0.017624
Mm Hs	KLK1	Acinar cells	Klk6	0.014	kallikrein 1	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.313433	0.00519312	0.013771
Mm Hs	RBPJL	Acinar cells	RBP-L|SUHL|RBPSUHL	0.001	recombination signal binding protein for immunoglobulin kappa J region like	protein-coding gene	1	Endoderm	Pancreas	0.0	0.19403	0.0	0.000428113
Mm Hs	PTF1A	Acinar cells	PTF1-p48|bHLHa29	0.001	pancreas associated transcription factor 1a	protein-coding gene	1	Endoderm	Pancreas	0.0	0.164179	0.00064914	0.000428113
Mm	TRY4	Acinar cells	NA	0.008	trypsin 4	protein coding gene	1	Endoderm	Pancreas	0.0	0.686567	0.0	0.0065644
Mm Hs	CELA3A	Acinar cells	ELA3|ELA3A	0.001	chymotrypsin like elastase family member 3A	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.134328	0.0	0.0
Mm Hs	PRSS1	Acinar cells	TRY1	0.002	serine protease 1	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0298507	0.00616683	0.0
Mm	AMY2A2	Acinar cells	NA	0.001	amylase 2a2	protein coding gene	NA	Endoderm	Pancreas	0.0	0.164179	0.0	0.0
Mm Hs	SPINK1	Acinar cells	Spink3|PCTT|PSTI|TATI	0.022	serine peptidase inhibitor, Kazal type 1	protein-coding gene	1	Endoderm	Pancreas	1.0	0.432836	0.0363518	0.0164823
Mm Hs	ZG16	Acinar cells	hZG16|JCLN1|ZG16A|JCLN	0.013	zymogen granule protein 16	protein-coding gene	1	Endoderm	Pancreas	0.0	0.567164	0.0149302	0.0109169
Mm Hs	CEL	Acinar cells	BSSL|MODY8	0.003	carboxyl ester lipase	protein-coding gene	1	Endoderm	Pancreas	0.166667	0.462687	0.0	0.000927578
Mm Hs	CELA2A	Acinar cells	ELA2A	0.005	chymotrypsin like elastase family member 2A	protein-coding gene	1	Endoderm	Pancreas	0.333333	0.656716	0.0	0.00321085
Mm	AMY2A3	Acinar cells	NA	0.001	amylase 2a3	protein coding gene	1	Endoderm	Pancreas	0.0	0.358209	0.0	0.000142704
Mm Hs	CPB1	Acinar cells	NA	0.006	carboxypeptidase B1	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.522388	0.00811425	0.00256868
Mm Hs	CELA1	Acinar cells	ELA1	0.018	chymotrypsin like elastase family member 1	protein-coding gene	1	Endoderm	Pancreas	0.0	0.835821	0.0	0.0189797
Mm	AMY2A5	Acinar cells	NA	0.002	amylase 2a5	protein coding gene	1	Endoderm	Pancreas	0.0	0.432836	0.0	0.000570817
Mm Hs	RNASE1	Acinar cells	RAC1|RNS1	0.023	ribonuclease A family member 1, pancreatic	protein-coding gene	1	Endoderm	Pancreas	0.75	0.58209	0.088283	0.00635034
Mm Hs	AMY2B	Acinar cells	NA	0.003	amylase, alpha 2B (pancreatic)	protein-coding gene	1	Endoderm	Pancreas	0.0833333	0.552239	0.0	0.0016411
Mm Hs	CPA2	Acinar cells	NA	0.005	carboxypeptidase A2	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.477612	0.0	0.00306814
Mm Hs	CPA1	Acinar cells	CPA	0.007	carboxypeptidase A1	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.61194	0.0	0.00485194
